i,continent,continentID,region,cluster,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
Afghanistan,Asia,2,South Asia,14,The Soviet War in Afghanistan,The Soviet War in Afghanistan,The Soviet War in Afghanistan,The Soviet War in Afghanistan,The Soviet War in Afghanistan,The Afghan Civil War,The Afghan Civil War,The Afghan Civil War,The Afghan Civil War,The Afghan Civil War,The Afghan Civil War,The Taliban Rule,The Taliban Rule,The Taliban Rule,The Taliban Rule,The Taliban Rule,The American War in Afghanistan,The American War in Afghanistan,The American War in Afghanistan,The American War in Afghanistan,The American War in Afghanistan,The American War in Afghanistan,The American War in Afghanistan,The American War in Afghanistan,The American War in Afghanistan,The American War in Afghanistan,The American War in Afghanistan,The American War in Afghanistan,The American War in Afghanistan,
Bangladesh,Asia,2,South Asia,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,Asia,2,South Asia,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Asia,2,South Asia,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran (Islamic Rep. of),Asia,2,South Asia,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,Asia,2,South Asia,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Asia,2,South Asia,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Asia,2,South Asia,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,Asia,2,South Asia,14,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,The Sri Lankan Civil War,
Brunei Darussalam,Asia,2,Southeast Asia,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Asia,2,Southeast Asia,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,Asia,2,Southeast Asia,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao People's Dem. Rep.,Asia,2,Southeast Asia,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
